キャリア,地域,都道府県,店名,住所,URL,店舗コード,開店日,緯度,経度,取得元,取得日
rakuten,東海,愛知県,エディオン 西尾店,445-0872 愛知県西尾市矢曽根町長配8,https://network.mobile.rakuten.co.jp/shop-detail/3361/,3361,2018-05-25,34.8589680,137.057072,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,エディオン 千音寺アズパーク店,454-0972 愛知県名古屋市中川区新家1丁目2421 アズパークショッピングセンター内,https://network.mobile.rakuten.co.jp/shop-detail/4731/,4731,2018-09-28,35.157123,136.806173,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,エディオン 知立店,472-0053 愛知県知立市南新地1丁目13-13,https://network.mobile.rakuten.co.jp/shop-detail/5461/,5461,2018-12-15,35.000942,137.035980,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,エディオン 津島店,496-0801 愛知県津島市藤浪町2丁目8,https://network.mobile.rakuten.co.jp/shop-detail/1007/,1007,2025-11-21,35.1797678,136.7291149,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,エディオン 天白店,468-0043 愛知県名古屋市天白区菅田2丁目901,https://network.mobile.rakuten.co.jp/shop-detail/4881/,4881,2018-10-18,35.118155,136.971399,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,エディオン 東海店,476-0003 愛知県東海市荒尾町見幕88,https://network.mobile.rakuten.co.jp/shop-detail/8733/,8733,2025-10-01,35.03968044,136.9174663,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,エディオン 日進竹の山店,470-0136 愛知県日進市竹の山3丁目2003番地,https://network.mobile.rakuten.co.jp/shop-detail/8279/,8279,2022-04-25,35.15539766,137.0356503,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,エディオン 半田店,475-0058 愛知県半田市乙川吉野町9番地 パワードーム半田内,https://network.mobile.rakuten.co.jp/shop-detail/8739/,8739,2025-10-20,34.90591617,136.9368244,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,エディオン 尾張旭店,488-0044 愛知県尾張旭市南本地ケ原町3丁目143,https://network.mobile.rakuten.co.jp/shop-detail/3981/,3981,2018-07-21,35.1979450,137.038404,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,エディオン 豊橋店,440-0851 愛知県豊橋市前田南町1丁目6-1,https://network.mobile.rakuten.co.jp/shop-detail/3341/,3341,2018-04-26,34.7570815,137.394077,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,エディオン 豊川店,442-0823 愛知県豊川市正岡町西深田345-1,https://network.mobile.rakuten.co.jp/shop-detail/2611/,2611,2017-07-28,34.803085,137.385888,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,エディオン 豊田大林店,473-0902 愛知県豊田市大林町8丁目54-2,https://network.mobile.rakuten.co.jp/shop-detail/8271/,8271,2022-03-15,35.04236523,137.1357438,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,エディオン 豊田本店,471-0037 愛知県豊田市三軒町8丁目55,https://network.mobile.rakuten.co.jp/shop-detail/0701/,0701,2015-10-30,35.0823117,137.141161,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,エディオン 名古屋本店,450-0003 愛知県名古屋市中村区駅南2丁目4-22,https://network.mobile.rakuten.co.jp/shop-detail/5171/,5171,2018-11-16,35.163666,136.891141,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,コジマ×ビックカメラ ヨロッカ春日井店,486-0842 愛知県春日井市六軒屋町東丘22 ヨロッカ春日井,https://network.mobile.rakuten.co.jp/shop-detail/7848/,7848,2021-10-19,35.258812,136.982461,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,ジョーシン アピタ長久手店,480-1124 愛知県長久手市戸田谷901-1 アピタ長久手店2F,https://network.mobile.rakuten.co.jp/shop-detail/4131/,4131,2018-08-23,35.172569,137.038254,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,ジョーシン クロスモール豊川店,442-0823 愛知県豊川市正岡町池田694-1 クロスモール豊川モール棟2F,https://network.mobile.rakuten.co.jp/shop-detail/3821/,3821,2018-07-06,34.801524,137.387995,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,ジョーシン シーナシーナ尾張旭店,488-0067 愛知県尾張旭市南原山町石原116-4 CiiNA CiiNA 尾張旭 2F,https://network.mobile.rakuten.co.jp/shop-detail/8673/,8673,2025-09-19,35.21364786,137.0517411,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,ジョーシン ららぽーと名古屋みなとアクルス店,455-8501 愛知県名古屋市港区港明2丁目3-2 ららぽーと名古屋みなとアクルス 1F,https://network.mobile.rakuten.co.jp/shop-detail/8672/,8672,2025-09-12,35.10944209,136.8828339,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,ジョーシン 一ツ木店,448-0003 愛知県刈谷市一ツ木町3丁目10-4,https://network.mobile.rakuten.co.jp/shop-detail/4751/,4751,2018-10-03,35.009441,137.027603,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,ジョーシン 一宮尾西店,494-0002 愛知県一宮市篭屋2丁目1-25,https://network.mobile.rakuten.co.jp/shop-detail/8304/,8304,2022-04-22,35.31072645,136.768997,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,ジョーシン 稲沢店,492-8601 愛知県稲沢市長野7丁目1-2 リーフウォーク稲沢モール棟1F,https://network.mobile.rakuten.co.jp/shop-detail/3911/,3911,2018-07-11,35.261776,136.819482,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,ジョーシン 岡崎イオンモール店,444-0840 愛知県岡崎市戸崎町字外山38-5 イオンモール岡崎 4F,https://network.mobile.rakuten.co.jp/shop-detail/8305/,8305,2022-04-22,34.9366323,137.1646294,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,ジョーシン 高蔵寺店,487-0011 愛知県春日井市中央台1丁目2-2 サンマルシェ南館 1F,https://network.mobile.rakuten.co.jp/shop-detail/8313/,8313,2022-04-26,35.28164781,137.0490641,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,ジョーシン 小牧店,485-0033 愛知県小牧市郷中1丁目50,https://network.mobile.rakuten.co.jp/shop-detail/8317/,8317,2022-04-27,35.2797021,136.9201393,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,ジョーシン 大高イオンモール店,459-8001 愛知県名古屋市緑区南大高2丁目450 イオンモール大高 1F,https://network.mobile.rakuten.co.jp/shop-detail/0621/,0621,2015-11-26,35.053845,136.947052,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,ジョーシン 白土店,458-0836 愛知県名古屋市緑区白土803,https://network.mobile.rakuten.co.jp/shop-detail/8556/,8556,2025-06-26,35.10173616,137.0203454,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,ジョーシン 木曽川イオンモール店,493-0001 愛知県一宮市木曽川町黒田字南八ツケ池25-1 イオンモール木曽川2F,https://network.mobile.rakuten.co.jp/shop-detail/3811/,3811,2018-07-06,35.348836,136.773927,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,テックランド ららぽーと安城店,446-8530 愛知県安城市大東町9-30 ららぽーと安城 3F,https://network.mobile.rakuten.co.jp/shop-detail/8546/,8546,2025-04-18,34.96535254,137.0803567,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,テックランド 星ヶ丘店,464-0801 愛知県名古屋市千種区星が丘1丁目1-7,https://network.mobile.rakuten.co.jp/shop-detail/8399/,8399,2022-06-17,35.16279857,136.9872624,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,テックランドヨシヅヤ名西店,451-0064 愛知県名古屋市西区名西2丁目33-8 ヨシヅヤ名古屋名西店3F,https://network.mobile.rakuten.co.jp/shop-detail/8166/,8166,2022-02-11,35.19041274,136.8783115,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,テックランド岡崎本店,444-0007 愛知県岡崎市大平町堤下55番地,https://network.mobile.rakuten.co.jp/shop-detail/8837/,8837,2025-10-11,34.94446106466614,137.1876083891459,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,テックランド半田店,475-0871 愛知県半田市本町1丁目1,https://network.mobile.rakuten.co.jp/shop-detail/8946/,8946,2025-11-01,34.9014791,136.9345294,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,ビックカメラ 名古屋JRゲートタワー店,450-6610 愛知県名古屋市中村区名駅1丁目1-3 地上9F～10F,https://network.mobile.rakuten.co.jp/shop-detail/6391/,6391,2019-05-22,35.172115,136.882853,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,ビックカメラ 名古屋駅西店,453-0015 愛知県名古屋市中村区椿町6-9,https://network.mobile.rakuten.co.jp/shop-detail/4681/,4681,2018-09-26,35.170326,136.879398,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,ヨドバシカメラ サンシャイン サカエ店,460-0003 愛知県名古屋市中区錦3丁目24-4,https://network.mobile.rakuten.co.jp/shop-detail/7711/,7711,2020-10-28,35.16952182946514,136.9062524232958,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,楽天モバイル mozoワンダーシティ店,452-0817 愛知県名古屋市西区二方町40-2 Mozoワンダーシティ4F　区画4047,https://network.mobile.rakuten.co.jp/shop-detail/7431/,7431,2019-12-06,35.225246,136.884272,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,楽天モバイル T-FACE 豊田市駅前店,471-0026 愛知県豊田市若宮町1丁目57-1 T-FACE B館1F,https://network.mobile.rakuten.co.jp/shop-detail/8662/,8662,2025-08-08,35.0875328,137.1550158,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,楽天モバイル アズパーク店,454-0972 愛知県名古屋市中川区新家1丁目2421 ショッピングセンターアズパーク 1F,https://network.mobile.rakuten.co.jp/shop-detail/8985/,8985,2025-11-28,35.15699047,136.8058178,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,楽天モバイル アピタ岡崎北店,444-0911 愛知県岡崎市日名北町4-46 アピタ岡崎北店,https://network.mobile.rakuten.co.jp/shop-detail/1068/,1068,2025-11-25,34.9750691,137.152689,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,楽天モバイル アピタ刈谷店,448-0841 愛知県刈谷市南桜町2丁目56-1 アピタ刈谷店 2F,https://network.mobile.rakuten.co.jp/shop-detail/1186/,1186,2025-12-01,34.99121527,137.0052134,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,楽天モバイル アピタ向山店,440-0864 愛知県豊橋市向山町中畑1-1 アピタ向山店 2F,https://network.mobile.rakuten.co.jp/shop-detail/1006/,1006,2025-11-15,34.7550436,137.4014175,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,楽天モバイル アピタ高蔵寺店,487-0011 愛知県春日井市中央台2丁目5 アピタ高蔵寺,https://network.mobile.rakuten.co.jp/shop-detail/8986/,8986,2025-11-12,35.28302306978963,137.04887492769916,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,楽天モバイル アピタ知立店,472-0045 愛知県知立市長篠町大山18-1 アピタ知立 1F,https://network.mobile.rakuten.co.jp/shop-detail/1463/,1463,2026-02-27,34.99803202,137.0533581,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,楽天モバイル アピタ名古屋南店,457-0841 愛知県名古屋市南区豊田4丁目9-47 アピタ名古屋南店 1F,https://network.mobile.rakuten.co.jp/shop-detail/1373/,1373,2026-01-15,35.10301833,136.9128486,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,楽天モバイル アピタ名古屋北店,462-0032 愛知県名古屋市北区辻町9丁目1 アピタ名古屋北 2F,https://network.mobile.rakuten.co.jp/shop-detail/1428/,1428,2026-02-27,35.209451,136.9228005,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,楽天モバイル イオンスタイル岡崎店,444-0840 愛知県岡崎市戸崎町字ばら山1-1 イオンスタイル岡崎3F,https://network.mobile.rakuten.co.jp/shop-detail/3681/,3681,2018-06-28,34.938698,137.164364,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,楽天モバイル イオンスタイル豊田店,471-0864 愛知県豊田市広路町1丁目1 イオンスタイル豊田　3F,https://network.mobile.rakuten.co.jp/shop-detail/7905/,7905,2021-11-26,35.07866452,137.1597977,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,楽天モバイル イオンタウン刈谷店,448-0007 愛知県刈谷市東境町京和１ イオンタウン刈谷,https://network.mobile.rakuten.co.jp/shop-detail/8898/,8898,2025-10-24,35.0386483,137.0272296,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,楽天モバイル イオンタウン名西店,451-0015 愛知県名古屋市西区香呑町6丁目49-1 イオンタウン名西 2F,https://network.mobile.rakuten.co.jp/shop-detail/1265/,1265,2025-12-15,35.204034239070104,136.8928000677745,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,楽天モバイル イオンモールナゴヤドーム前店,461-0048 愛知県名古屋市東区矢田南4丁目102-3 イオンモールナゴヤドーム前店1F,https://network.mobile.rakuten.co.jp/shop-detail/5981/,5981,2019-03-20,35.187302,136.944390,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,楽天モバイル イオンモール常滑店,479-0882 愛知県常滑市りんくう町2丁目20-3 イオンモール常滑2F,https://network.mobile.rakuten.co.jp/shop-detail/2731/,2731,2017-10-06,34.880726,136.826526,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,楽天モバイル イオンモール新瑞橋店,457-0012 愛知県名古屋市南区菊住1丁目7-10 2F,https://network.mobile.rakuten.co.jp/shop-detail/7001/,7001,2019-08-30,35.114699,136.935192,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,楽天モバイル イオンモール大高店,459-8016 愛知県名古屋市緑区南大高2丁目450 イオンモール大高 3F,https://network.mobile.rakuten.co.jp/shop-detail/7939/,7939,2021-12-28,35.05311372,136.9475701,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,楽天モバイル イオンモール長久手店,480-1128 愛知県長久手市勝入塚501番地 イオンモール長久手3F,https://network.mobile.rakuten.co.jp/shop-detail/4951/,4951,2018-11-09,35.173649,137.050752,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,楽天モバイル イオンモール東浦店,470-2102 愛知県知多郡東浦町大字緒川字旭13-2 イオンモール東浦2F,https://network.mobile.rakuten.co.jp/shop-detail/6221/,6221,2019-04-16,34.978610,136.974068,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,楽天モバイル イオンモール熱田店,456-8763 愛知県名古屋市熱田区六野1丁目2-11 イオンモール熱田 3F,https://network.mobile.rakuten.co.jp/shop-detail/8513/,8513,2024-11-01,35.1375288786182,136.908767344189,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,楽天モバイル イオンモール扶桑店,480-0105 愛知県丹羽郡扶桑町南山名高塚5-1 イオンモール扶桑 2F,https://network.mobile.rakuten.co.jp/shop-detail/8536/,8536,2025-03-21,35.3613190350871,136.900034270734,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,楽天モバイル イオンモール豊川店,442-0848 愛知県豊川市白鳥町兎足1-16 イオンモール豊川 3F,https://network.mobile.rakuten.co.jp/shop-detail/8476/,8476,2023-03-30,34.824715,137.351486,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,楽天モバイル イオンモール名古屋茶屋店,455-0858 愛知県名古屋市港区西茶2丁目11 イオンモール名古屋茶屋1F 1036区画,https://network.mobile.rakuten.co.jp/shop-detail/7928/,7928,2021-12-24,35.10349,136.82507,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,楽天モバイル イオンモール木曽川店,493-0001 愛知県一宮市木曽川町黒田字南ハツケ池25-1 イオンモール木曽川1F,https://network.mobile.rakuten.co.jp/shop-detail/7181/,7181,2019-09-20,35.349243,136.773888,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,楽天モバイル イオン三好SC店,470-0224 愛知県みよし市三好町青木91 イオン三好ショッピングセンター 2F,https://network.mobile.rakuten.co.jp/shop-detail/1500/,1500,2026-06-01,35.0931056781505,137.078455898147,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,楽天モバイル イオン守山ショッピングセンター店,463-0812 愛知県名古屋市守山区笹ヶ根3丁目1228 イオン守山ショッピングセンター 2F,https://network.mobile.rakuten.co.jp/shop-detail/8639/,8639,2025-08-20,35.23489406,137.0040909,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,楽天モバイル イオン豊橋南店,441-8124 愛知県豊橋市野依町字落合1-12 イオン豊橋南ショッピングセンター 2F,https://network.mobile.rakuten.co.jp/shop-detail/1493/,1493,2026-04-17,34.7098672528891,137.388808899473,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,楽天モバイル イオン名古屋東店,465-0008 愛知県名古屋市名東区猪子石原2丁目1701 イオン名古屋東店,https://network.mobile.rakuten.co.jp/shop-detail/8776/,8776,2025-10-08,35.1954188,136.9937204,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,楽天モバイル ヴェルサウォーク西尾店,445-0064 愛知県西尾市高畠町3丁目23-9 ヴェルサウォーク西尾 2F,https://network.mobile.rakuten.co.jp/shop-detail/8289/,8289,2022-03-25,34.86445853,137.0596255,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,楽天モバイル エアポートウォーク名古屋店,480-0202 愛知県西春日井郡豊山町場林先1-8 エアポートウォーク名古屋　3F,https://network.mobile.rakuten.co.jp/shop-detail/7917/,7917,2021-12-10,35.24612001,136.9248587,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,楽天モバイル テラスウォーク一宮店,491-0022 愛知県一宮市両郷町1丁目2 テラスウォーク一宮2F,https://network.mobile.rakuten.co.jp/shop-detail/7911/,7911,2021-11-25,35.31072501,136.8168617,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,楽天モバイル バロー城山店,488-0072 愛知県尾張旭市新居町諏訪南1305,https://network.mobile.rakuten.co.jp/shop-detail/8772/,8772,2025-09-26,35.219692310540864,137.04137768013632,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,楽天モバイル ピアゴ新城店,441-1378 愛知県新城市宮ノ後68‐3 ピアゴ新城店,https://network.mobile.rakuten.co.jp/shop-detail/8920/,8920,2025-10-29,34.90359116,137.4953678,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,楽天モバイル プライムツリー赤池店,470-0126 愛知県日進市赤池町箕ノ手1番 プライムツリー赤池 2F,https://network.mobile.rakuten.co.jp/shop-detail/8805/,8805,2025-10-21,35.1183810221832,137.02252326952,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,楽天モバイル フレンドタウン長久手店,480-1158 愛知県長久手市東原山46-93 フレンドタウン長久手,https://network.mobile.rakuten.co.jp/shop-detail/1078/,1078,2025-11-28,35.1877426,137.0276891,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,楽天モバイル ヨシヅヤ 師勝店,481-0004 愛知県北名古屋市鹿田1929 ヨシヅヤ 師勝店,https://network.mobile.rakuten.co.jp/shop-detail/1075/,1075,2025-11-27,35.2531617,136.8776258,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
rakuten,東海,愛知県,楽天モバイル ヨシヅヤ津島北テラス店,496-0813 愛知県津島市片岡町60 ヨシヅヤ津島北テラス 1F,https://network.mobile.rakuten.co.jp/shop-detail/1114/,1114,2025-11-28,35.18363770385961,136.72684759792972,https://network.mobile.rakuten.co.jp/shopmaster-public/v1/shops,2026-08-17
